topic,query
"Technology","Generate a podcast content between two people discussing Technology"
"Finance","Generate a podcast content between two people discussing Finance"
"Economics","Generate a podcast content between two people discussing Economics"
"Law","Generate a podcast content between two people discussing Law"
"Medicine","Generate a podcast content between two people discussing Medicine"
"Biology","Generate a podcast content between two people discussing Biology"
"Chemistry","Generate a podcast content between two people discussing Chemistry"
"Physics","Generate a podcast content between two people discussing Physics"
"Mathematics","Generate a podcast content between two people discussing Mathematics"
"Statistics","Generate a podcast content between two people discussing Statistics"
"Machine Learning","Generate a podcast content between two people discussing Machine Learning"
"Deep Learning","Generate a podcast content between two people discussing Deep Learning"
"Artificial Intelligence","Generate a podcast content between two people discussing Artificial Intelligence"
"Natural Language Processing","Generate a podcast content between two people discussing Natural Language Processing"
"Computer Vision","Generate a podcast content between two people discussing Computer Vision"
"Software Engineering","Generate a podcast content between two people discussing Software Engineering"
"Databases","Generate a podcast content between two people discussing Databases"
"Networking","Generate a podcast content between two people discussing Networking"
"Cybersecurity","Generate a podcast content between two people discussing Cybersecurity"
"Cloud Computing","Generate a podcast content between two people discussing Cloud Computing"
"Marketing","Generate a podcast content between two people discussing Marketing"
"Sales","Generate a podcast content between two people discussing Sales"
"Management","Generate a podcast content between two people discussing Management"
"Leadership","Generate a podcast content between two people discussing Leadership"
"Entrepreneurship","Generate a podcast content between two people discussing Entrepreneurship"
"Accounting","Generate a podcast content between two people discussing Accounting"
"Auditing","Generate a podcast content between two people discussing Auditing"
"Taxation","Generate a podcast content between two people discussing Taxation"
"Banking","Generate a podcast content between two people discussing Banking"
"Insurance","Generate a podcast content between two people discussing Insurance"
"Real Estate","Generate a podcast content between two people discussing Real Estate"
"Supply Chain","Generate a podcast content between two people discussing Supply Chain"
"Logistics","Generate a podcast content between two people discussing Logistics"
"Operations","Generate a podcast content between two people discussing Operations"
"Manufacturing","Generate a podcast content between two people discussing Manufacturing"
"Quality","Generate a podcast content between two people discussing Quality"
"Six Sigma","Generate a podcast content between two people discussing Six Sigma"
"Lean","Generate a podcast content between two people discussing Lean"
"Project Management","Generate a podcast content between two people discussing Project Management"
"Agile","Generate a podcast content between two people discussing Agile"
"Scrum","Generate a podcast content between two people discussing Scrum"
"HR","Generate a podcast content between two people discussing HR"
"Recruitment","Generate a podcast content between two people discussing Recruitment"
"Training","Generate a podcast content between two people discussing Training"
"Psychology","Generate a podcast content between two people discussing Psychology"
"Cognition","Generate a podcast content between two people discussing Cognition"
"Behavior","Generate a podcast content between two people discussing Behavior"
"Neuroscience","Generate a podcast content between two people discussing Neuroscience"
"Sociology","Generate a podcast content between two people discussing Sociology"
"Anthropology","Generate a podcast content between two people discussing Anthropology"
"Philosophy","Generate a podcast content between two people discussing Philosophy"
"Ethics","Generate a podcast content between two people discussing Ethics"
"Politics","Generate a podcast content between two people discussing Politics"
"Public Policy","Generate a podcast content between two people discussing Public Policy"
"International Relations","Generate a podcast content between two people discussing International Relations"
"Geopolitics","Generate a podcast content between two people discussing Geopolitics"
"History","Generate a podcast content between two people discussing History"
"Archaeology","Generate a podcast content between two people discussing Archaeology"
"Geography","Generate a podcast content between two people discussing Geography"
"Urban Planning","Generate a podcast content between two people discussing Urban Planning"
"Environment","Generate a podcast content between two people discussing Environment"
"Climate","Generate a podcast content between two people discussing Climate"
"Sustainability","Generate a podcast content between two people discussing Sustainability"
"Energy","Generate a podcast content between two people discussing Energy"
"Renewables","Generate a podcast content between two people discussing Renewables"
"Oil and Gas","Generate a podcast content between two people discussing Oil and Gas"
"Mining","Generate a podcast content between two people discussing Mining"
"Agriculture","Generate a podcast content between two people discussing Agriculture"
"Forestry","Generate a podcast content between two people discussing Forestry"
"Fisheries","Generate a podcast content between two people discussing Fisheries"
"Food Science","Generate a podcast content between two people discussing Food Science"
"Nutrition","Generate a podcast content between two people discussing Nutrition"
"Sports Science","Generate a podcast content between two people discussing Sports Science"
"Fitness","Generate a podcast content between two people discussing Fitness"
"Medicine - Cardiology","Generate a podcast content between two people discussing Medicine - Cardiology"
"Medicine - Neurology","Generate a podcast content between two people discussing Medicine - Neurology"
"Medicine - Oncology","Generate a podcast content between two people discussing Medicine - Oncology"
"Pharmacology","Generate a podcast content between two people discussing Pharmacology"
"Nursing","Generate a podcast content between two people discussing Nursing"
"Public Health","Generate a podcast content between two people discussing Public Health"
"Education","Generate a podcast content between two people discussing Education"
"Pedagogy","Generate a podcast content between two people discussing Pedagogy"
"Curriculum","Generate a podcast content between two people discussing Curriculum"
"Assessment","Generate a podcast content between two people discussing Assessment"
"E-learning","Generate a podcast content between two people discussing E-learning"
"Linguistics","Generate a podcast content between two people discussing Linguistics"
"Phonetics","Generate a podcast content between two people discussing Phonetics"
"Pragmatics","Generate a podcast content between two people discussing Pragmatics"
"Translation","Generate a podcast content between two people discussing Translation"
"Interpretation","Generate a podcast content between two people discussing Interpretation"
"Journalism","Generate a podcast content between two people discussing Journalism"
"Media","Generate a podcast content between two people discussing Media"
"Communication","Generate a podcast content between two people discussing Communication"
"Advertising","Generate a podcast content between two people discussing Advertising"
"PR","Generate a podcast content between two people discussing PR"
"Design","Generate a podcast content between two people discussing Design"
"UX","Generate a podcast content between two people discussing UX"
"UI","Generate a podcast content between two people discussing UI"
"Graphic Design","Generate a podcast content between two people discussing Graphic Design"
"Industrial Design","Generate a podcast content between two people discussing Industrial Design"
