chunk_id,topic,token_count,matched_token_count,content
topic3.txt,Probability,24,21,"The Poisson distribution can be derived as an approximation to the binomial distribution when the number of trials is large, the success probability is small, and the expected value np converges to a fixed constant λ. It is widely used to model the number of events occurring within a fixed interval of time or space."
chap_10.txt,Computer,18,9,"In C++, a class is a user-defined data type that groups variables and functions into a single logical unit. Classes support encapsulation and are a fundamental building block of object-oriented programming."
chap_06.txt,Computer,2,3,"In C++, a file is treated as a sequence of bytes. When a file is opened, a stream object is created to provide a communication channel between the program and the file, enabling reading and writing operations."
chap_01.txt,Computer,22,21,"C++ is a general-purpose programming language developed by Bjarne Stroustrup in the 1980s as an extension of the C language. It introduced object-oriented programming features while remaining backward compatible with C."
topic6.txt,Probability,17,17,"The cumulative distribution function (CDF) of a random variable represents the probability that the variable takes a value less than or equal to a given point. A CDF is non-decreasing, bounded between 0 and 1, and can be used to compute probabilities over intervals."
Lec04.txt,Physics,2,3,"Newton’s First Law states that an object remains at rest or moves with constant velocity unless acted upon by a net external force. This law defines inertial reference frames in classical mechanics."
topic3.txt,Probability,1,2,"A random variable is a function that maps each outcome in a sample space to a real number. For example, in a coin toss experiment, a random variable may assign 1 to heads and 0 to tails."
topic11.txt,Probability,11,11,"The Central Limit Theorem states that the sum or average of a large number of independent and identically distributed random variables with finite mean and variance converges in distribution to a normal distribution."
chap_09.txt,Computer,58,25,"Dynamic memory allocation in C allows programs to request and release memory at runtime. This provides flexibility in managing memory for data structures whose size is not known at compile time."
chap_09.txt,Computer,0,2,"A pointer is a variable that stores the memory address of another variable. Pointers enable indirect access to data and are commonly used for dynamic memory management and call-by-reference function arguments."
